R_Fighter,R_Total_Fights,R_Win_Percentage,R_Method_1_prev,R_Rounds_1_prev,R_Winner_1_prev,R_Prev_Fight_days,B_Fighter,B_Total_Fights,B_Win_Percentage,B_Method_1_prev,B_Rounds_1_prev,B_Winner_1_prev,B_Prev_Fight_days,Win_Method,Winner
Yaroslav Amosov,23,1.0,Split Decision,3,True,182,Mark Lemminger,17,0.9411764705882353,TKO,2,True,28,TKO,1.0
Yaroslav Amosov,21,1.0,Split Decision,3,True,189,David Rickels,30,0.7666666666666667,TKO,2,True,148,Submission,1.0
Yaroslav Amosov,19,1.0,Submission,1,True,329,Gerald Harris,29,0.7931034482758621,Submission,1,False,76,Split Decision,1.0
Yaroslav Amosov,17,1.0,Split Decision,3,True,273,Diogo Cavalcanti,11,0.7272727272727273,TKO,1,False,322,Submission,1.0
Yaroslav Amosov,13,1.0,KO,2,True,77,Islam Berzegov,2,0.0,Submission,1,False,1546,Submission,1.0
Yaroslav Amosov,11,1.0,Submission,2,True,29,Ravil Risaev,3,0.0,TKO,1,False,307,Submission,1.0
Yaroslav Amosov,9,1.0,TKO,1,True,20,Oleg Olenichev,2,1.0,Split Decision,2,True,104,Split Decision,1.0
Yaroslav Amosov,5,1.0,Submission,1,True,230,Andrei Shalavai,1,0.0,KO,1,False,483,TKO,1.0
Yaroslav Amosov,3,1.0,Submission,1,True,137,Vadim Sandulskiy,8,0.75,TKO,1,True,112,Submission,1.0
Yaroslav Amosov,1,1.0,TKO,1,True,283,Artiom Cula,2,1.0,TKO,1,True,100,TKO,1.0
Yaroslav Amosov,22,1.0,Submission,2,True,181,Ed Ruth,9,0.8888888888888888,Split Decision,3,True,119,Split Decision,1.0
Yaroslav Amosov,20,1.0,Split Decision,3,True,218,Erick Silva,19,0.6842105263157895,Submission,1,True,211,Split Decision,1.0
Yaroslav Amosov,18,1.0,Submission,1,True,153,Nathan Oliveira,5,1.0,TKO,1,True,132,Submission,1.0
Yaroslav Amosov,16,1.0,TKO,2,True,107,Roberto Soldic,7,0.8571428571428571,TKO,3,True,105,Split Decision,1.0
Yaroslav Amosov,14,1.0,Submission,1,True,126,Maxim Konovalov,5,1.0,TKO,2,True,54,Submission,1.0
Yaroslav Amosov,12,1.0,Submission,1,True,112,Diego Gonzalez,28,0.6071428571428571,Submission,3,True,237,KO,1.0
Yaroslav Amosov,8,1.0,TKO,1,True,65,Boris Selanov,2,1.0,Submission,2,True,147,TKO,1.0
Yaroslav Amosov,5,1.0,Submission,1,True,230,Aleksey Nimirovich,2,0.5,Submission,2,True,28,TKO,1.0
Yaroslav Amosov,4,1.0,Submission,3,True,113,Valeri Shpak,6,0.16666666666666666,Split Decision,2,False,88,Submission,1.0
Yaroslav Amosov,2,1.0,TKO,2,True,9,Vitaliy Matornika,1,0.0,Submission,2,False,199,Submission,1.0
Mark Lemminger,15,0.9333333333333333,Submission,2,True,69,Ben Egli,23,0.8695652173913043,Submission,2,True,139,Split Decision,1.0
Mark Lemminger,13,0.9230769230769231,TKO,3,False,238,Rocky Edwards,17,0.5882352941176471,Split Decision,3,True,203,Split Decision,1.0
Mark Lemminger,11,1.0,TKO,2,True,105,Patrick Delgado,9,0.7777777777777778,Split Decision,3,True,266,Split Decision,1.0
Mark Lemminger,9,1.0,TKO,1,True,105,Brandon Suber,18,0.7222222222222222,KO,1,True,35,Submission,1.0
Mark Lemminger,7,1.0,TKO,2,True,84,Cole Wilken,2,1.0,TKO,1,True,154,Submission,1.0
Mark Lemminger,5,1.0,Split Decision,3,True,119,Jake Erickson,14,0.35714285714285715,Split Decision,3,False,679,TKO,1.0
Mark Lemminger,4,1.0,Submission,2,True,112,Tim Hiley,3,1.0,TKO,1,True,301,Split Decision,1.0
Mark Lemminger,2,1.0,TKO,2,True,70,Alton Cunningham,1,1.0,TKO,2,True,161,Split Decision,1.0
Mark Lemminger,16,0.9375,Split Decision,5,True,323,Jake Smith,15,0.6666666666666666,Submission,2,False,321,TKO,1.0
Mark Lemminger,14,0.9285714285714286,Split Decision,3,True,279,Isaac Steele,9,0.8888888888888888,Submission,2,True,482,Submission,1.0
Mark Lemminger,12,1.0,Split Decision,5,True,112,Jason Witt,16,0.75,Split Decision,3,True,43,TKO,0.0
Mark Lemminger,10,1.0,Submission,3,True,161,Frank Schuman,18,0.6666666666666666,TKO,1,False,239,TKO,1.0
Mark Lemminger,8,1.0,Submission,1,True,168,Rex Griepertrop,7,0.7142857142857143,No Contest,0,False,1870,TKO,1.0
Mark Lemminger,6,1.0,TKO,1,True,126,Jeremiah Denson,6,0.8333333333333334,Submission,1,True,273,TKO,1.0
Mark Lemminger,3,1.0,Split Decision,3,True,119,Chase Bennett,3,0.3333333333333333,KO,2,False,420,Submission,1.0
Mark Lemminger,1,1.0,TKO,3,True,98,Mitchell Snowball,3,1.0,TKO,3,True,161,TKO,1.0
David Rickels,28,0.75,TKO,2,False,189,Guilherme Vasconcelos,15,0.7333333333333333,Submission,1,True,314,Split Decision,1.0
David Rickels,26,0.7692307692307693,TKO,3,True,308,Adam Piccolotti,10,0.9,Submission,1,False,69,Split Decision,1.0
David Rickels,24,0.7916666666666666,TKO,1,True,147,Melvin Guillard,37,0.5675675675675675,KO,2,False,154,No Contest,0.0
David Rickels,22,0.8181818181818182,No Contest,1,False,133,Michael Chandler,16,0.8125,Submission,1,True,140,TKO,0.0
David Rickels,20,0.85,KO,2,False,217,Davi Ramos,4,1.0,Submission,1,True,195,Split Decision,1.0
David Rickels,18,0.8888888888888888,KO,1,False,72,J.J. Ambrose,25,0.72,No Contest,1,False,244,TKO,1.0
David Rickels,16,0.9375,Split Decision,3,True,28,Saad Awad,19,0.7368421052631579,KO,1,True,28,TKO,1.0
David Rickels,14,0.9285714285714286,Split Decision,3,True,62,Lloyd Woodard,16,0.8125,KO,2,False,286,Split Decision,1.0
David Rickels,12,1.0,KO,1,True,49,Karl Amoussou,18,0.7777777777777778,Submission,1,True,49,Split Decision,0.0
David Rickels,10,1.0,Split Decision,3,True,84,Levi Avera,25,0.64,Submission,1,True,43,Submission,1.0
David Rickels,8,1.0,Submission,1,True,28,Richard Bouphanouvong,6,0.5,Split Decision,3,False,245,Submission,1.0
David Rickels,6,1.0,Submission,2,True,126,Aaron Fondry,2,0.5,Submission,1,True,125,Split Decision,1.0
David Rickels,4,1.0,Submission,1,True,56,Kelly Allen,3,0.0,Submission,1,False,35,Submission,1.0
David Rickels,2,1.0,Submission,1,True,448,Chris Evinger,1,1.0,Submission,1,True,582,TKO,1.0
David Rickels,29,0.7586206896551724,Split Decision,3,True,119,A.J. Matthews,17,0.5294117647058824,TKO,2,False,224,TKO,1.0
David Rickels,27,0.7777777777777778,Split Decision,3,True,175,Michael Page,12,1.0,Split Decision,3,True,552,TKO,0.0
David Rickels,25,0.76,No Contest,1,False,189,Aaron Derrow,22,0.6363636363636364,Split Decision,3,True,826,TKO,1.0
David Rickels,23,0.782608695652174,TKO,2,False,112,Bobby    Cooper,17,0.7058823529411765,Split Decision,3,True,245,TKO,1.0
David Rickels,21,0.8571428571428571,Split Decision,3,True,245,John Alessio,50,0.66,Split Decision,3,True,413,No Contest,0.0
David Rickels,19,0.8947368421052632,TKO,3,True,161,Patricky Freire,16,0.6875,Split Decision,3,True,133,KO,0.0
David Rickels,17,0.9411764705882353,TKO,2,True,125,Michael Chandler,11,1.0,Submission,2,True,195,KO,0.0
David Rickels,15,0.9333333333333333,Split Decision,3,True,28,Jason Fischer,7,0.8571428571428571,Submission,1,True,28,Split Decision,1.0
David Rickels,13,0.9230769230769231,Split Decision,3,False,196,Jason Fischer,5,1.0,Submission,3,True,49,Split Decision,1.0
David Rickels,11,1.0,Submission,2,True,174,Jordan Smith,20,0.85,Split Decision,3,True,133,KO,1.0
David Rickels,9,1.0,Submission,2,True,70,Kody Frank,7,0.5714285714285714,Submission,2,True,148,Split Decision,1.0
David Rickels,7,1.0,Split Decision,3,True,43,Dylan Smith,11,0.9090909090909091,Submission,1,True,120,Submission,1.0
David Rickels,5,1.0,Submission,1,True,69,Charles Jones,9,0.7777777777777778,Split Decision,3,True,27,Submission,1.0
David Rickels,3,1.0,TKO,1,True,126,Michael Glenn,1,0.0,Submission,1,False,294,Submission,1.0
