Fighter,Result,Opponent,Event,Date,Method,Rounds,Time
Yaroslav Amosov,win,Mark Lemminger,Bellator 244 - Bader vs. Nemkov,Aug / 21 / 2020,TKO (Doctor Stoppage),1,5:00
Yaroslav Amosov,win,David Rickels,Bellator 225 - Mitrione vs. Kharitonov 2,Aug / 24 / 2019,Submission (Brabo Choke),2,4:05
Yaroslav Amosov,win,Gerald Harris,Bellator 202 - Budd vs. Nogueira,Jul / 13 / 2018,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Diogo Cavalcanti,Tech-Krep FC - Prime Selection 12,Mar / 18 / 2017,Submission (North-South Choke),1,4:48
Yaroslav Amosov,win,Khasanbek Abdulaev,Tech-Krep FC - Southern Front 3,Mar / 03 / 2016,TKO (Punches),2,2:47
Yaroslav Amosov,win,Islam Berzegov,Tech-Krep FC - Prime Selection 7,Oct / 09 / 2015,Submission (Rear-Naked Choke),1,1:27
Yaroslav Amosov,win,Ravil Risaev,Tech-Krep FC - Ermak Prime Challenge,Apr / 03 / 2015,Submission (North-South Choke),1,1:27
Yaroslav Amosov,win,Oleg Olenichev,Tech-Krep FC - Battle of Heroes,Dec / 12 / 2014,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Aydin Aikhan,ECSF - Ukraine vs. Turkey,Sep / 18 / 2014,TKO (Punches),1,1:40
Yaroslav Amosov,win,Andrei Shalavai,CSFU - Voshod Open Cup,Jul / 26 / 2014,TKO (Punches),1,3:10
Yaroslav Amosov,win,Vadim Sandulskiy,League S-70 - Plotforma 4th,Aug / 17 / 2013,Submission (Rear-Naked Choke),3,3:03
Yaroslav Amosov,win,Artiom Cula,ECSF - Battle of Bessarabia,Mar / 24 / 2013,TKO (Punches),2,1:36
Yaroslav Amosov,win,Ed Ruth,Bellator 239 - Ruth vs. Amosov,Feb / 21 / 2020,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Erick Silva,Bellator 216 - MVP vs. Daley,Feb / 16 / 2019,Decision (Unanimous),3,5:00
Yaroslav Amosov,win,Nathan Oliveira,Tech-Krep FC - Prime Selection 17,Aug / 18 / 2017,Submission (Anaconda Choke),1,3:20
Yaroslav Amosov,win,Roberto Soldic,Tech-Krep FC - Prime Selection 8,Jun / 18 / 2016,Decision (Split),3,5:00
Yaroslav Amosov,win,Maxim Konovalov,Tech-Krep FC - Battle in Siberia,Feb / 12 / 2016,Submission (Anaconda Choke),1,2:34
Yaroslav Amosov,win,Diego Gonzalez,Tech-Krep FC - Prime Selection 4: Grandmasters,Jul / 24 / 2015,KO (Punch),2,2:38
Yaroslav Amosov,win,Avtandil Gachechiladze,ECSF - Steel Warriors,Mar / 05 / 2015,Submission (Armbar),2,1:45
Yaroslav Amosov,win,Boris Selanov,GEFC - Mega Fight,Nov / 22 / 2014,TKO (Punches),1,3:40
Yaroslav Amosov,win,Aleksey Nimirovich,CSFU - Voshod Open Cup,Jul / 26 / 2014,TKO (Punches),1,2:40
